rank,id,player,team,pos,gp,pass_yds,pass_td,pass_int,rush_yds,rush_td,rec,rec_yds,rec_td,def_sck,def_int,fum_forced,fum_recovered,fpts_ppr_per_gp,fpts_ppr
49,18187,Robbie Chosen,CAR,WR,17,0,0,0,36,0,53,519,5,0,0,0,0,8.1,138.5
50,22592,Elijah Moore,NYJ,WR,11,0,0,0,54,1,43,538,5,0,0,0,0,12.6,138.2
51,14871,Robert Woods,LAR,WR,9,0,0,0,46,1,45,556,4,0,0,0,0,15.2,137.2
52,16020,Jarvis Landry,CLE,WR,12,0,0,0,40,2,52,570,2,0,0,0,0,11.1,133.0
53,18422,Kalif Raymond,DET,WR,16,0,0,0,28,0,48,576,4,0,0,0,0,8.3,132.4
54,11063,Emmanuel Sanders,BUF,WR,14,0,0,0,31,0,42,626,4,0,0,0,0,9.4,131.7
55,16389,Odell Beckham Jr.,LAR,WR,14,0,0,0,14,0,44,537,5,0,0,0,0,9.2,129.1
56,21697,Laviska Shenault Jr.,JAX,WR,16,0,0,0,41,0,63,619,0,0,0,0,0,7.9,127.0
57,20150,Byron Pringle,KC,WR,17,0,0,0,0,0,42,568,5,0,0,0,1,7.5,126.8
58,21735,Gabe Davis,BUF,WR,16,0,0,0,0,0,35,549,6,0,0,0,0,7.9,125.9
59,11056,Antonio Brown,TB,WR,7,0,0,0,6,0,42,545,4,0,0,0,0,17.3,121.1
60,21957,Quez Watkins,PHI,WR,17,0,0,0,3,0,43,647,1,0,0,0,0,6.8,116.0
61,20038,Braxton Berrios,NYJ,WR,16,0,0,0,40,2,46,431,2,0,0,0,0,7.2,115.1
62,21163,Deonte Harty,NO,WR,13,0,0,0,41,0,36,570,3,0,0,0,0,8.7,113.1
63,16866,Jamison Crowder,NYJ,WR,12,0,0,0,0,0,51,447,2,0,0,0,0,9.1,109.7
64,21754,Donovan Peoples-Jones,CLE,WR,14,0,0,0,0,0,34,597,3,0,0,0,0,7.8,109.7
65,21736,Bryan Edwards,LV,WR,16,0,0,0,0,0,34,571,3,0,0,0,0,6.8,109.1
66,22626,Rondale Moore,ARI,WR,14,0,0,0,76,0,54,435,1,0,0,0,0,7.8,109.1
67,21734,Nick Westbrook-Ikhine,TEN,WR,16,0,0,0,0,0,38,476,4,0,0,0,0,6.7,107.6
68,18926,Zay Jones,LV,WR,17,0,0,0,3,0,47,546,1,0,0,0,0,6.2,105.9
69,18879,Corey Davis,NYJ,WR,9,0,0,0,0,0,34,492,4,0,0,0,0,11.7,105.2
70,16775,DeVante Parker,MIA,WR,10,0,0,0,0,0,40,515,2,0,0,0,0,10.3,103.5
