rank,id,player,team,pos,Receptions,ReceivingYards,ReceivingTDs,RouteParticipation,SnapShare,AverageTargetDistance,AirYards,AirYardsPerGame,AirYardsPerReception,Targets,RedZoneTargets,EndzoneTargets,TargetAccuracy,TargetShare,FantasyPointsPerTarget
212,21723,James Proche II,CLE,WR,0,0,0,8.6,9.1,17.2,86,8.6,,5,0,1,3.5,1.4,0.0
213,22569,Dee Eskridge,SEA,WR,0,0,0,4.5,7.6,17.0,17,4.2,,1,0,0,2.5,0.8,0.5
214,20886,Stanley Morgan Jr.,CIN,WR,0,0,0,1.9,2.1,0.0,0,0.0,,0,0,0,0.0,0.0,0.0
215,22591,Dez Fitzpatrick,PIT,WR,0,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,,0.0,0.0
216,24342,Mitchell Tinsley,WAS,WR,0,0,0,1.5,5.0,0.0,0,0.0,,0,0,0,0.0,0.0,0.0
217,22234,Andre Baccellia,ARI,WR,0,0,0,9.7,14.0,0.0,0,0.0,,0,0,0,0.0,0.0,0.0
218,16790,Phillip Dorsett,DEN,WR,0,0,0,30.3,26.1,26.0,78,39.0,,3,0,0,5.0,4.9,0.0
219,23604,Montrell Washington,KC,WR,0,0,0,0.4,0.2,0.0,0,0.0,,0,0,0,,0.0,0.0
220,21601,Gunner Olszewski,NYG,WR,1,0,0,2.6,1.6,-1.0,-1,-0.1,-1,1,0,0,7.5,0.3,3.0
221,24629,Terrell Bynum,LAC,WR,0,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,,0.0,0.0
222,21750,Marquez Callaway,NO,WR,0,0,0,14.3,13.3,0.0,0,0.0,,0,0,0,0.0,0.0,0.0
223,20939,David Sills,DEN,WR,0,0,0,2.3,7.8,0.0,0,0.0,,0,0,0,0.0,0.0,0.0
224,23099,Michael Bandy,DEN,WR,0,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,,0.0,0.0
225,23164,Kearis Jackson,TEN,WR,0,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,,0.0,0.0
226,19064,Trent Taylor,CHI,WR,0,0,0,13.2,11.1,0.0,0,0.0,,2,0,0,3.8,0.4,-0.1
227,21115,Juwann Winfree,IND,WR,0,0,0,3.5,3.2,26.0,26,3.2,,1,0,0,2.5,0.4,0.0
228,22345,Dan Chisena,ARI,WR,0,0,0,0.0,0.4,0.0,0,0.0,,0,0,0,,0.0,0.0
229,23962,Irvin Charles,NYJ,WR,0,0,0,3.0,5.2,9.0,9,0.8,,1,0,0,2.5,0.2,0.0
230,22415,Mason Kinsey,TEN,WR,,,,,,,,,,,,,,,
231,24875,Dylan Drummond,DET,WR,,,,,,,,,,,,,,,
232,23659,Tay Martin,SF,WR,,,,,,,,,,,,,,,
233,24471,Ryan Miller,TB,WR,,,,,,,,,,,,,,,
234,24755,Elijah Cooks,JAX,WR,,,,,,,,,,,,,,,
235,22575,Amari Rodgers,IND,WR,,,,,,,,,,,,,,,
236,22488,Chris Blair,ATL,WR,,,,,,,,,,,,,,,
237,24894,Lucky Jackson,MIN,WR,,,,,,,,,,,,,,,
238,23998,Ethan Fernea,IND,WR,,,,,,,,,,,,,,,
239,23909,Kwamie Lassiter II,CIN,WR,,,,,,,,,,,,,,,
240,22339,Kirk Merritt,NO,WR,,,,,,,,,,,,,,,
241,13870,Marvin Jones Jr.,DET,WR,,,,,,,,,,,,,,,
242,22600,Johnny Johnson III,HOU,WR,,,,,,,,,,,,,,,
243,24571,Cephus Johnson III,TB,WR,,,,,,,,,,,,,,,
244,24577,Chase Cota,HOU,WR,,,,,,,,,,,,,,,
245,23587,Devon Allen,PHI,WR,,,,,,,,,,,,,,,
