rank,id,player,team,pos,Receptions,ReceivingYards,ReceivingTDs,RouteParticipation,SnapShare,AverageTargetDistance,AirYards,AirYardsPerGame,AirYardsPerReception,Targets,RedZoneTargets,EndzoneTargets,TargetAccuracy,TargetShare,FantasyPointsPerTarget
219,19937,Keke Coutee,IND,WR,,,,,,,,,,,,,,,
220,24076,Josh Ali,ATL,WR,,,,,,,,,,,,,,,
221,11565,Andre Roberts,CAR,WR,,,,,,,,,,,,,,,
222,19779,Brandon Zylstra,DET,WR,,,,,,,,,,,,,,,
223,19361,Marcus Kemp,KC,WR,,,,,,,,,,,,,,,
224,23292,Stanley Berryhill,DET,WR,,,,,,,,,,,,,,,
225,19431,Tanner Gentry,BUF,WR,,,,,,,,,,,,,,,
226,12845,A.J. Green,ARI,WR,,,,,,,,,,,,,,,
227,18209,Marcus Johnson,NYG,WR,,,,,,,,,,,,,,,
228,18977,Kenny Golladay,NYG,WR,,,,,,,,,,,,,,,
229,13870,Marvin Jones Jr.,JAX,WR,,,,,,,,,,,,,,,
230,23741,Jared Bernhardt,ATL,WR,,,,,,,,,,,,,,,
231,14587,Josh Gordon,TEN,WR,,,,,,,,,,,,,,,
232,16787,Breshad Perriman,TB,WR,,,,,,,,,,,,,,,
233,23838,Daylen Baldwin,CLE,WR,,,,,,,,,,,,,,,
234,18879,Corey Davis,NYJ,WR,,,,,,,,,,,,,,,
235,23659,Tay Martin,SF,WR,,,,,,,,,,,,,,,
236,23821,Kyric McGowan,WAS,WR,,,,,,,,,,,,,,,
237,23998,Ethan Fernea,IND,WR,,,,,,,,,,,,,,,
238,19280,Cody Hollister,TEN,WR,,,,,,,,,,,,,,,
239,19200,C.J. Board,TEN,WR,,,,,,,,,,,,,,,
240,16768,Kevin White,NO,WR,,,,,,,,,,,,,,,
241,18039,Pharoh Cooper,ARI,WR,,,,,,,,,,,,,,,
242,18361,Chester Rogers,CLE,WR,,,,,,,,,,,,,,,
243,17289,Jake Kumerow,BUF,WR,,,,,,,,,,,,,,,
244,18089,Rashard Higgins,CAR,WR,,,,,,,,,,,,,,,
245,22575,Amari Rodgers,HOU,WR,,,,,,,,,,,,,,,
246,19865,James Washington,DAL,WR,,,,,,,,,,,,,,,
247,3943,DeSean Jackson,BAL,WR,,,,,,,,,,,,,,,
248,14141,Cole Beasley,BUF,WR,,,,,,,,,,,,,,,
249,16640,John Brown,BUF,WR,,,,,,,,,,,,,,,
250,14005,T.Y. Hilton,DAL,WR,,,,,,,,,,,,,,,
251,18445,Mike Thomas,CIN,WR,,,,,,,,,,,,,,,
252,22415,Mason Kinsey,TEN,WR,,,,,,,,,,,,,,,
253,20011,Javon Wims,ARI,WR,,,,,,,,,,,,,,,
254,22600,Johnny Johnson III,HOU,WR,,,,,,,,,,,,,,,
