rank,id,player,team,pos,gp,redzone_pass_yds,redzone_pass_td,redzone_pass_int,redzone_rush_yds,redzone_rush_td,redzone_rec,redzone_rec_yds,redzone_rec_td,redzone_fpts_ppr
205,19514,Keelan Cole Sr.,LV,WR,14,0,0,0,0,0,0,0,0,0.0
206,19937,Keke Coutee,IND,WR,8,0,0,0,0,0,0,0,0,0.0
207,20071,Keith Kirkwood,NO,WR,5,0,0,0,0,0,0,0,0,0.0
208,20013,Cedrick Wilson Jr.,MIA,WR,15,0,0,0,0,0,0,0,0,0.0
209,20988,Preston Williams,CAR,WR,1,0,0,0,0,0,0,0,0,0.0
210,21078,Jeff Smith,NYJ,WR,11,0,0,0,0,0,0,0,0,0.0
211,22620,Mike Strachan,IND,WR,13,0,0,0,0,0,0,0,0,0.0
212,22622,Racey McMath,TEN,WR,5,0,0,0,0,0,0,0,0,0.0
213,22685,Terrace Marshall Jr.,CAR,WR,14,0,0,0,0,0,0,0,0,0.0
214,20816,Lil'Jordan Humphrey,NE,WR,6,0,0,0,0,0,0,0,0,0.0
215,21368,Trinity Benson,DET,WR,1,0,0,0,0,0,0,0,0,0.0
216,21675,Tyler Johnson,HOU,WR,2,0,0,0,0,0,0,0,0,0.0
217,21115,Juwann Winfree,GB,WR,3,0,0,0,0,0,0,0,0,0.0
218,22339,Kirk Merritt,NO,WR,4,0,0,0,0,0,0,0,0,0.0
219,22345,Dan Chisena,MIN,WR,2,0,0,0,0,0,0,0,0,0.0
220,21722,Binjimen Victor,BAL,WR,2,0,0,0,0,0,0,0,0,0.0
221,21729,Quintez Cephus,DET,WR,4,0,0,0,0,0,0,0,0,0.0
222,18209,Marcus Johnson,NYG,WR,14,0,0,0,0,0,0,0,0,0.0
223,18197,Alex Erickson,WAS,WR,2,0,0,0,0,0,0,0,0,0.0
224,22616,Kaylon Geiger,TB,WR,3,0,0,0,0,0,0,0,0,0.0
225,22234,Andre Baccellia,ARI,WR,8,0,0,0,0,0,0,0,0,0.0
226,20011,Javon Wims,ARI,WR,1,0,0,0,0,0,0,0,0,0.0
227,22415,Mason Kinsey,TEN,WR,2,0,0,0,0,0,0,0,0,0.0
228,22892,Tim Jones,JAX,WR,17,0,0,0,0,0,0,0,0,0.0
229,22635,Jalen Camp,HOU,WR,2,0,0,0,0,0,0,0,0,0.0
230,22645,Simi Fehoko,DAL,WR,5,0,0,0,0,0,0,0,0,0.0
231,22683,Jacob Harris,LAR,WR,7,0,0,0,0,0,0,0,0,0.0
232,22973,Austin Trammell,LAR,WR,6,0,0,0,0,0,0,0,0,0.0
233,21037,Miles Boykin,PIT,WR,16,0,0,0,0,0,0,0,0,0.0
234,23642,Jalen Virgil,DEN,WR,9,0,0,0,0,0,0,0,0,0.0
235,23741,Jared Bernhardt,ATL,WR,2,0,0,0,0,0,0,0,0,0.0
236,18089,Rashard Higgins,CAR,WR,3,0,0,0,0,0,0,0,0,0.0
237,23909,Kwamie Lassiter II,CIN,WR,1,0,0,0,0,0,0,0,0,0.0
238,16866,Jamison Crowder,BUF,WR,4,0,0,0,0,0,0,0,0,0.0
239,23966,Lance McCutcheon,LAR,WR,10,0,0,0,0,0,0,0,0,0.0
240,24073,Maurice Alexander,DET,WR,4,0,0,0,0,0,0,0,0,0.0
241,23659,Tay Martin,SF,WR,2,0,0,0,0,0,0,0,0,0.0
242,23821,Kyric McGowan,WAS,WR,2,0,0,0,0,0,0,0,0,0.0
243,23978,Raleigh Webb,NE,WR,12,0,0,0,0,0,0,0,0,0.0
244,23998,Ethan Fernea,IND,WR,1,0,0,0,0,0,0,0,0,0.0
245,24076,Josh Ali,ATL,WR,1,0,0,0,0,0,0,0,0,0.0
246,16787,Breshad Perriman,TB,WR,11,0,0,0,0,0,0,0,0,0.0
247,22567,Cade Johnson,SEA,WR,3,0,0,0,0,0,0,0,0,0.0
248,22568,Cornell Powell,KC,WR,3,0,0,0,0,0,0,0,0,0.0
249,22575,Amari Rodgers,HOU,WR,16,0,0,0,0,0,0,0,0,0.0
250,16768,Kevin White,NO,WR,7,0,0,0,0,0,0,0,0,0.0
251,22588,Anthony Schwartz,CLE,WR,11,0,0,0,0,0,0,0,0,0.0
252,22591,Dez Fitzpatrick,TEN,WR,1,0,0,0,0,0,0,0,0,0.0
253,22686,Dyami Brown,WAS,WR,15,0,0,0,0,0,0,0,0,0.0
254,19865,James Washington,DAL,WR,2,0,0,0,0,0,0,0,0,0.0
