rank,id,player,team,pos,Receptions,ReceivingYards,ReceivingTDs,RouteParticipation,SnapShare,AverageTargetDistance,AirYards,AirYardsPerGame,AirYardsPerReception,Targets,RedZoneTargets,EndzoneTargets,TargetAccuracy,TargetShare,FantasyPointsPerTarget
36,19800,Courtland Sutton,DEN,WR,58,776,2,91.5,85.5,15.7,1534,90.2,26,98,11,4,7.2,18.9,1.5
37,20006,Russell Gage,ATL,WR,66,770,4,78.4,72.2,9.2,853,60.9,13,93,14,6,7.7,22.0,1.8
38,19207,Tim Patrick,DEN,WR,53,734,5,87.3,82.3,11.8,1003,62.7,19,85,11,8,7.2,17.3,1.8
39,15534,Adam Thielen,MIN,WR,67,726,10,85.5,84.3,9.9,941,72.4,14,95,15,8,7.2,21.0,2.1
40,20788,Mecole Hardman Jr.,KC,WR,59,693,2,58.6,53.5,7.5,624,36.7,11,83,16,3,8.2,13.1,1.7
41,21714,K.J. Osborn,MIN,WR,50,655,7,78.1,67.6,10.5,863,50.8,17,82,8,5,6.4,14.7,1.9
42,21957,Quez Watkins,PHI,WR,43,647,1,67.4,70.3,11.2,692,40.7,16,62,7,3,7.4,13.3,1.9
43,21697,Laviska Shenault Jr.,JAX,WR,63,619,0,75.4,69.3,5.4,534,33.4,8,99,10,4,7.3,18.1,1.3
44,20013,Cedrick Wilson Jr.,DAL,WR,45,602,6,52.0,45.6,9.5,578,36.1,13,61,9,2,8.3,10.2,2.4
45,21754,Donovan Peoples-Jones,CLE,WR,34,597,3,88.0,77.1,14.7,852,60.9,25,58,4,3,7.1,14.4,1.9
46,18422,Kalif Raymond,DET,WR,48,576,4,78.5,70.8,9.5,677,42.3,14,71,5,0,7.2,13.7,1.9
47,14986,DeAndre Hopkins,ARI,WR,42,572,8,89.7,83.8,12.4,779,77.9,19,63,15,10,7.3,20.4,2.3
48,21163,Deonte Harty,NO,WR,36,570,3,43.0,29.2,7.7,454,34.9,13,59,5,0,5.4,15.8,1.9
49,20150,Byron Pringle,KC,WR,42,568,5,51.9,47.8,11.1,666,39.2,16,60,6,4,7.8,9.5,2.1
50,14871,Robert Woods,LAR,WR,45,556,4,90.2,93.7,8.1,561,62.3,12,69,16,5,7.3,21.5,2.0
51,21735,Gabe Davis,BUF,WR,35,549,6,46.8,49.3,13.4,844,52.8,24,63,17,11,6.5,10.9,2.0
52,18926,Zay Jones,LV,WR,47,546,1,57.5,55.0,13.1,916,53.9,19,70,5,7,7.4,11.9,1.5
53,22592,Elijah Moore,NYJ,WR,43,538,5,72.0,68.1,10.8,831,75.5,19,77,8,3,6.8,18.6,1.8
54,16389,Odell Beckham Jr.,LAR,WR,44,537,5,81.3,72.7,11.4,939,67.1,21,82,12,7,6.9,17.7,1.6
55,18187,Robbie Chosen,CAR,WR,53,519,5,94.7,85.1,9.7,1072,63.0,20,110,8,6,6.2,19.3,1.2
56,16775,DeVante Parker,MIA,WR,40,515,2,88.7,78.9,10.9,795,79.5,20,73,6,7,7.6,21.9,1.4
57,22623,Rashod Bateman,BAL,WR,46,515,1,74.9,69.0,8.0,534,44.5,12,67,5,2,7.4,15.8,1.5
58,20145,Allen Lazard,GB,WR,40,513,8,72.5,72.8,11.0,660,44.0,17,60,16,11,7.5,11.9,2.4
59,21734,Nick Westbrook-Ikhine,TEN,WR,38,476,4,60.1,59.0,10.7,599,37.4,16,56,11,2,7.5,11.2,1.9
60,16781,Nelson Agholor,NE,WR,37,473,3,82.1,74.0,13.3,839,55.9,23,63,7,3,6.7,13.8,1.6
61,21692,Jerry Jeudy,DEN,WR,38,467,0,78.1,64.5,10.5,586,58.6,15,56,3,0,7.0,19.9,1.5
62,21448,Jalen Guyton,LAC,WR,31,448,3,61.0,53.1,10.6,509,31.8,16,48,7,6,7.5,7.7,2.0
63,16866,Jamison Crowder,NYJ,WR,51,447,2,79.5,68.4,6.3,451,37.6,9,72,12,2,8.2,16.9,1.5
64,21756,Nico Collins,HOU,WR,33,446,1,73.1,61.9,10.7,653,46.6,20,61,6,5,6.5,13.6,1.4
65,19867,Michael Gallup,DAL,WR,35,445,2,79.5,76.7,11.2,693,77.0,20,62,8,7,7.4,16.6,1.5
66,22626,Rondale Moore,ARI,WR,54,435,1,52.8,47.5,3.3,212,15.1,4,65,8,1,7.9,14.3,1.7
67,17914,Laquon Treadwell,JAX,WR,33,434,1,64.5,66.1,11.8,604,50.3,18,51,6,4,7.5,12.9,1.6
68,13291,Julio Jones,TEN,WR,31,434,1,72.0,58.4,11.6,555,55.5,18,48,7,5,6.9,15.9,1.7
69,20038,Braxton Berrios,NYJ,WR,46,431,2,41.2,37.8,4.6,300,18.8,7,65,8,2,7.3,11.6,1.9
