rank,id,player,team,pos,Targets,Receptions,ReceivingYards,ReceivingTDs,AverageCushion,TargetSeparation,TrueCatchRate,ContestedTargets,ContestedCatches,ReceiverContestedCatchRate,YardsPerReception,YardsPerTarget,YardsPerRouteRun,Drops,DropRate
140,23463,Kyle Philips,TEN,WR,13,8,78,0,4.3,2.0,66.7,0,0,,9.8,6.0,1.8,0.0,0.0
141,21686,Jalen Reagor,MIN,WR,13,8,104,1,5.3,2.7,88.9,1,1,1.0,13.0,8.0,2.3,0.0,0.0
142,16866,Jamison Crowder,BUF,WR,13,6,60,0,4.3,2.0,85.7,2,1,0.5,10.0,4.6,1.1,1.0,7.7
143,21078,Jeff Smith,NYJ,WR,11,8,134,0,5.5,2.5,80.0,3,1,0.3,16.8,12.2,2.0,0.0,0.0
144,17914,Laquon Treadwell,SEA,WR,10,6,42,0,4.0,2.4,120.0,3,2,0.7,7.0,4.2,0.6,1.0,10.0
145,23634,Samori Toure,GB,WR,10,5,82,1,4.5,2.1,62.5,1,0,0.0,16.4,8.2,1.1,0.0,0.0
146,19064,Trent Taylor,CIN,WR,10,6,62,0,4.2,1.8,75.0,1,0,0.0,10.3,6.2,0.9,1.0,10.0
147,22234,Andre Baccellia,ARI,WR,10,7,45,0,6.0,1.1,140.0,0,0,,6.4,4.5,1.1,0.0,0.0
148,23746,Deven Thompkins,TB,WR,10,5,32,0,5.4,1.0,62.5,3,0,0.0,6.4,3.2,0.9,0.0,0.0
149,22588,Anthony Schwartz,CLE,WR,10,4,51,0,4.7,2.1,57.1,3,0,0.0,12.8,5.1,1.0,2.0,20.0
150,23468,Michael Woods II,CLE,WR,9,5,45,0,4.8,2.9,100.0,1,1,1.0,9.0,5.0,0.6,0.0,0.0
151,23234,Jameson Williams,DET,WR,9,1,41,1,5.1,0.6,25.0,1,0,0.0,41.0,4.5,1.2,2.0,22.2
152,23604,Montrell Washington,DEN,WR,9,4,2,0,4.1,1.7,57.1,2,0,0.0,0.5,0.2,0.0,1.0,11.1
153,20792,N'Keal Harry,CHI,WR,9,7,116,1,4.9,1.3,116.7,3,2,0.7,16.6,12.9,1.7,0.0,0.0
154,22620,Mike Strachan,IND,WR,9,3,59,0,5.3,1.1,42.9,5,2,0.4,19.7,6.5,0.9,2.0,22.2
155,22622,Racey McMath,TEN,WR,8,2,40,0,3.9,1.2,100.0,4,0,0.0,20.0,5.0,1.1,0.0,0.0
156,16837,Chris Conley,TEN,WR,7,4,46,0,5.0,1.0,80.0,3,2,0.7,11.5,6.6,0.6,1.0,14.3
157,21601,Gunner Olszewski,PIT,WR,7,5,53,0,4.0,1.9,100.0,0,0,,10.6,7.6,0.7,1.0,14.3
158,22572,Dax Milne,WAS,WR,7,6,37,1,5.3,1.7,100.0,0,0,,6.2,5.3,1.1,0.0,0.0
159,23573,Danny Gray,SF,WR,7,1,10,0,3.9,0.7,33.3,3,0,0.0,10.0,1.4,0.4,0.0,0.0
160,22604,Tylan Wallace,BAL,WR,7,4,33,0,6.0,1.1,80.0,2,1,0.5,8.2,4.7,0.9,0.0,0.0
161,21737,Tyrie Cleveland,DEN,WR,7,2,28,0,5.0,2.3,40.0,1,0,0.0,14.0,4.0,0.7,0.0,0.0
162,21960,Freddie Swain,DEN,WR,6,4,74,0,5.4,2.2,80.0,0,0,,18.5,12.3,1.2,1.0,16.7
163,23725,Dennis Houston,DAL,WR,6,2,16,0,4.6,1.7,66.7,4,2,0.5,8.0,2.7,0.3,0.0,0.0
164,20820,Andy Isabella,BAL,WR,5,2,21,0,5.8,1.4,100.0,0,0,,10.5,4.2,0.5,0.0,0.0
165,23642,Jalen Virgil,DEN,WR,5,2,75,1,5.1,3.4,66.7,0,0,,37.5,15.0,1.7,0.0,0.0
166,22595,Ihmir Smith-Marsette,KC,WR,4,1,15,0,7.0,1.0,50.0,1,0,0.0,15.0,3.8,0.7,1.0,25.0
167,23966,Lance McCutcheon,LAR,WR,4,0,0,0,4.2,0.0,0.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0
168,16855,Ty Montgomery II,NE,WR,4,3,15,1,,2.2,,,,,5.0,3.8,1.4,0.0,0.0
169,20071,Keith Kirkwood,NO,WR,4,2,18,0,4.6,1.0,50.0,1,1,1.0,9.0,4.5,0.3,1.0,25.0
170,22973,Austin Trammell,LAR,WR,4,2,13,0,5.6,1.0,100.0,0,0,,6.5,3.2,0.4,0.0,0.0
171,22892,Tim Jones,JAX,WR,4,3,30,0,6.0,1.8,75.0,0,0,,10.0,7.5,0.6,1.0,25.0
172,21115,Juwann Winfree,GB,WR,4,1,17,0,6.1,3.5,50.0,1,0,0.0,17.0,4.2,0.7,1.0,25.0
173,22645,Simi Fehoko,DAL,WR,4,3,24,0,5.1,2.2,75.0,2,1,0.5,8.0,6.0,1.3,0.0,0.0
174,20816,Lil'Jordan Humphrey,NE,WR,4,2,20,0,4.5,3.8,100.0,0,0,,10.0,5.0,0.5,1.0,25.0
175,21448,Jalen Guyton,LAC,WR,4,2,64,0,4.4,1.0,100.0,1,0,0.0,32.0,16.0,3.5,0.0,0.0
176,22567,Cade Johnson,SEA,WR,4,2,21,0,5.1,2.2,100.0,1,0,0.0,10.5,5.2,0.8,0.0,0.0
177,23441,Braylon Sanders,MIA,WR,3,2,17,0,3.3,2.0,200.0,2,1,0.5,8.5,5.7,0.9,0.0,0.0
178,21037,Miles Boykin,PIT,WR,3,2,11,0,3.0,1.0,66.7,2,1,0.5,5.5,3.7,0.6,0.0,0.0
179,22597,Jalen Tolbert,DAL,WR,3,2,12,0,4.7,0.7,100.0,1,1,1.0,6.0,4.0,0.3,0.0,0.0
180,21295,Nsimba Webster,CHI,WR,3,2,14,0,8.2,1.3,66.7,1,0,0.0,7.0,4.7,3.5,0.0,0.0
181,21729,Quintez Cephus,DET,WR,3,2,15,0,4.3,1.7,66.7,0,0,,7.5,5.0,0.8,0.0,0.0
182,22596,Jaelon Darden,CLE,WR,2,2,26,0,4.6,1.0,100.0,0,0,,13.0,13.0,0.8,0.0,0.0
183,21163,Deonte Harty,NO,WR,2,2,13,0,5.8,4.5,100.0,0,0,,6.5,6.5,0.9,0.0,0.0
184,23624,Dareke Young,SEA,WR,2,2,24,0,5.0,3.0,100.0,0,0,,12.0,12.0,0.8,0.0,0.0
185,24068,KaVontae Turpin,DAL,WR,2,1,9,0,5.1,1.0,100.0,0,0,,9.0,4.5,0.6,0.0,0.0
186,23325,Erik Ezukanma,MIA,WR,1,1,3,0,7.0,6.0,100.0,0,0,,3.0,3.0,1.5,0.0,0.0
187,20886,Stanley Morgan Jr.,CIN,WR,1,0,0,0,4.4,0.0,0.0,0,0,,0.0,0.0,0.0,0.0,0.0
