rank,id,player,team,pos,gp,redzone10_pass_yds,redzone10_pass_td,redzone10_pass_int,redzone10_rush_yds,redzone10_rush_td,redzone10_rec,redzone10_rec_yds,redzone10_rec_td,redzone10_fpts_ppr
151,23741,Jared Bernhardt,ATL,WR,2,0,0,0,0,0,0,0,0,0.0
152,23099,Michael Bandy,LAC,WR,10,0,0,0,0,0,0,0,0,0.0
153,18187,Robbie Chosen,ARI,WR,16,0,0,0,0,0,0,0,0,0.0
154,18089,Rashard Higgins,CAR,WR,3,0,0,0,0,0,0,0,0,0.0
155,18039,Pharoh Cooper,ARI,WR,5,0,0,0,0,0,0,0,0,0.0
156,23909,Kwamie Lassiter II,CIN,WR,1,0,0,0,0,0,0,0,0,0.0
157,23966,Lance McCutcheon,LAR,WR,10,0,0,0,0,0,0,0,0,0.0
158,23468,Michael Woods II,CLE,WR,11,0,0,0,0,0,0,0,0,0.0
159,24068,KaVontae Turpin,DAL,WR,17,0,0,0,0,0,0,0,0,0.0
160,24073,Maurice Alexander,DET,WR,4,0,0,0,0,0,0,0,0,0.0
161,23659,Tay Martin,SF,WR,2,0,0,0,0,0,0,0,0,0.0
162,23821,Kyric McGowan,WAS,WR,2,0,0,0,0,0,0,0,0,0.0
163,23978,Raleigh Webb,NE,WR,12,0,0,0,0,0,0,0,0,0.0
164,23998,Ethan Fernea,IND,WR,1,0,0,0,0,0,0,0,0,0.0
165,24076,Josh Ali,ATL,WR,1,0,0,0,0,0,0,0,0,0.0
166,16866,Jamison Crowder,BUF,WR,4,0,0,0,0,0,0,0,0,0.0
167,16640,John Brown,BUF,WR,3,0,0,0,0,0,0,0,0,0.0
168,21741,Denzel Mims,NYJ,WR,10,0,0,0,0,0,0,0,0,0.0
169,21759,KJ Hamler,DEN,WR,7,0,0,0,0,0,0,0,0,0.0
170,21957,Quez Watkins,PHI,WR,17,0,0,0,0,0,0,0,0,0.0
171,21959,Dezmon Patmon,IND,WR,1,0,0,0,0,0,0,0,0,0.0
172,21960,Freddie Swain,DEN,WR,4,0,0,0,0,0,0,0,0,0.0
173,21964,Cody White,PIT,WR,1,0,0,0,0,0,0,0,0,0.0
174,22594,Frank Darby,ATL,WR,5,0,0,0,0,0,0,0,0,0.0
175,22595,Ihmir Smith-Marsette,KC,WR,8,0,0,0,0,0,0,0,0,0.0
176,22596,Jaelon Darden,CLE,WR,14,0,0,0,0,0,0,0,0,0.0
177,22597,Jalen Tolbert,DAL,WR,8,0,0,0,0,0,0,0,0,0.0
178,21737,Tyrie Cleveland,DEN,WR,6,0,0,0,0,0,0,0,0,0.0
179,22600,Johnny Johnson III,HOU,WR,1,0,0,0,0,0,0,0,0,0.0
180,22602,Tutu Atwell,LAR,WR,13,0,0,0,0,0,0,0,0,0.0
181,22604,Tylan Wallace,BAL,WR,9,0,0,0,0,0,0,0,0,0.0
182,23232,Alec Pierce,IND,WR,16,0,0,0,0,0,0,0,0,0.0
183,23234,Jameson Williams,DET,WR,6,0,0,0,0,0,0,0,0,0.0
184,23292,Stanley Berryhill,DET,WR,4,0,0,0,0,0,0,0,0,0.0
185,23302,Britain Covey,PHI,WR,17,0,0,0,0,0,0,0,0,0.0
186,23325,Erik Ezukanma,MIA,WR,1,0,0,0,0,0,0,0,0,0.0
187,23441,Braylon Sanders,MIA,WR,3,0,0,0,0,0,0,0,0,0.0
188,23463,Kyle Philips,TEN,WR,4,0,0,0,0,0,0,0,0,0.0
189,23573,Danny Gray,SF,WR,13,0,0,0,0,0,0,0,0,0.0
190,23624,Dareke Young,SEA,WR,13,0,0,0,0,0,0,0,0,0.0
191,23634,Samori Toure,GB,WR,11,0,0,0,0,0,0,0,0,0.0
192,23725,Dennis Houston,DAL,WR,2,0,0,0,0,0,0,0,0,0.0
193,23729,Rashid Shaheed,NO,WR,12,0,0,0,0,0,0,0,0,0.0
194,23746,Deven Thompkins,TB,WR,5,0,0,0,0,0,0,0,0,0.0
195,23838,Daylen Baldwin,CLE,WR,1,0,0,0,0,0,0,0,0,0.0
196,11565,Andre Roberts,CAR,WR,3,0,0,0,0,0,0,0,0,0.0
197,13227,Randall Cobb,GB,WR,13,0,0,0,0,0,0,0,0,0.0
198,14141,Cole Beasley,BUF,WR,4,0,0,0,0,0,0,0,0,0.0
199,14587,Josh Gordon,TEN,WR,2,0,0,0,0,0,0,0,0,0.0
200,16141,Willie Snead IV,SF,WR,4,0,0,0,0,0,0,0,0,0.0
201,19431,Tanner Gentry,BUF,WR,3,0,0,0,0,0,0,0,0,0.0
202,16781,Nelson Agholor,NE,WR,16,0,0,0,0,0,0,0,0,0.0
203,16837,Chris Conley,TEN,WR,9,0,0,0,0,0,0,0,0,0.0
204,14005,T.Y. Hilton,DAL,WR,3,0,0,0,0,0,0,0,0,0.0
205,17141,Damiere Byrd,ATL,WR,14,0,0,0,0,0,0,0,0,0.0
206,3943,DeSean Jackson,BAL,WR,7,0,0,0,0,0,0,0,0,0.0
207,7651,Matthew Slater,NE,WR,17,0,0,0,0,0,0,0,0,0.0
208,17914,Laquon Treadwell,SEA,WR,6,0,0,0,0,0,0,0,0,0.0
209,18361,Chester Rogers,CLE,WR,3,0,0,0,0,0,0,0,0,0.0
210,21556,Tom Kennedy,DET,WR,7,0,0,0,0,0,0,0,0,0.0
211,16790,Phillip Dorsett,HOU,WR,15,0,0,0,0,0,0,0,0,0.0
212,18977,Kenny Golladay,NYG,WR,12,0,0,0,0,0,0,0,0,0.0
213,17289,Jake Kumerow,BUF,WR,6,0,0,0,0,0,0,0,0,0.0
214,14865,Marquise Goodwin,SEA,WR,13,0,0,0,0,0,0,0,0,0.0
215,21178,Jason Moore,LAC,WR,6,0,0,0,0,0,0,0,0,0.0
216,21163,Deonte Harty,NO,WR,4,0,0,0,0,0,0,0,0,0.0
217,17961,Sterling Shepard,NYG,WR,3,0,0,0,0,0,0,0,0,0.0
218,19361,Marcus Kemp,KC,WR,3,0,0,0,0,0,0,0,0,0.0
219,19779,Brandon Zylstra,DET,WR,2,0,0,0,0,0,0,0,0,0.0
220,20886,Stanley Morgan Jr.,CIN,WR,14,0,0,0,0,0,0,0,0,0.0
221,20793,Penny Hart,SEA,WR,9,0,0,0,0,0,0,0,0,0.0
222,18445,Mike Thomas,CIN,WR,10,0,0,0,0,0,0,0,0,0.0
223,20398,Equanimeous St. Brown,CHI,WR,16,0,0,0,0,0,0,0,0,0.0
224,20838,Tyron Billy-Johnson,HOU,WR,4,0,0,0,0,0,0,0,0,0.0
225,20792,N'Keal Harry,CHI,WR,7,0,0,0,0,0,0,0,0,0.0
226,19172,Zach Pascal,PHI,WR,17,0,0,0,0,0,0,0,0,0.0
227,19200,C.J. Board,TEN,WR,4,0,0,0,0,0,0,0,0,0.0
228,20924,Hunter Renfrow,LV,WR,10,0,0,0,0,0,0,0,0,0.0
229,20684,Malik Turner,SF,WR,3,0,0,0,0,0,0,0,0,0.0
230,21295,Nsimba Webster,CHI,WR,2,0,0,0,0,0,0,0,0,0.0
231,21400,Steven Sims,PIT,WR,12,0,0,0,0,0,0,0,0,0.0
232,21448,Jalen Guyton,LAC,WR,3,0,0,0,0,0,0,0,0,0.0
233,19514,Keelan Cole Sr.,LV,WR,14,0,0,0,0,0,0,0,0,0.0
234,19937,Keke Coutee,IND,WR,8,0,0,0,0,0,0,0,0,0.0
235,20071,Keith Kirkwood,NO,WR,5,0,0,0,0,0,0,0,0,0.0
236,20013,Cedrick Wilson Jr.,MIA,WR,15,0,0,0,0,0,0,0,0,0.0
237,20529,Cam Sims,WAS,WR,17,0,0,0,0,0,0,0,0,0.0
238,20988,Preston Williams,CAR,WR,1,0,0,0,0,0,0,0,0,0.0
239,21078,Jeff Smith,NYJ,WR,11,0,0,0,0,0,0,0,0,0.0
240,19865,James Washington,DAL,WR,2,0,0,0,0,0,0,0,0,0.0
241,21743,Lynn Bowden Jr.,NE,WR,1,0,0,0,0,0,0,0,0,0.0
242,22567,Cade Johnson,SEA,WR,3,0,0,0,0,0,0,0,0,0.0
243,22568,Cornell Powell,KC,WR,3,0,0,0,0,0,0,0,0,0.0
244,22569,Dee Eskridge,SEA,WR,10,0,0,0,0,0,0,0,0,0.0
245,22575,Amari Rodgers,HOU,WR,16,0,0,0,0,0,0,0,0,0.0
246,16787,Breshad Perriman,TB,WR,11,0,0,0,0,0,0,0,0,0.0
247,22588,Anthony Schwartz,CLE,WR,11,0,0,0,0,0,0,0,0,0.0
248,22590,Ben Skowronek,LAR,WR,14,0,0,0,0,0,0,0,0,0.0
249,22591,Dez Fitzpatrick,TEN,WR,1,0,0,0,0,0,0,0,0,0.0
250,22592,Elijah Moore,NYJ,WR,16,0,0,0,0,0,0,0,0,0.0
251,16768,Kevin White,NO,WR,7,0,0,0,0,0,0,0,0,0.0
252,22686,Dyami Brown,WAS,WR,15,0,0,0,0,0,0,0,0,0.0
253,19064,Trent Taylor,CIN,WR,16,0,0,0,-3,0,0,0,0,-0.3
254,22626,Rondale Moore,ARI,WR,8,0,0,0,-4,0,0,0,0,-0.4
