rank,id,player,team,pos,gp,pass_yds,pass_td,pass_int,rush_yds,rush_td,rec,rec_yds,rec_td,def_sck,def_int,fum_forced,fum_recovered,fpts_ppr_per_gp,fpts_ppr
130,20943,Darius Slayton,NYG,WR,17,0,0,0,0,0,50,770,4,0,0,0,0,8.9,151.0
131,19920,Dalton Schultz,HOU,TE,15,0,0,0,0,0,59,635,5,0,0,0,0,10.0,150.5
132,24102,Dalton Kincaid,BUF,TE,16,0,0,0,0,0,73,673,2,0,0,0,0,9.4,150.3
133,19815,Christian Kirk,JAX,WR,12,-1,0,0,6,0,57,787,3,0,0,0,0,12.5,150.3
134,16301,Cairo Santos,CHI,K,17,0,0,0,0,0,0,0,0,0,0,0,0,8.8,150.0
135,20769,Matt Gay,IND,K,17,0,0,0,0,0,0,0,0,0,0,0,0,8.8,150.0
136,23157,Jaxon Smith-Njigba,SEA,WR,17,0,0,0,0,0,63,628,4,0,0,0,0,8.8,149.8
137,14252,Kirk Cousins,MIN,QB,8,2331,18,5,25,0,0,0,0,0,0,0,0,18.7,149.7
138,21490,Azeez Al-Shaair,TEN,LB,17,0,0,0,0,0,0,0,0,2,0,0,1,8.8,149.7
139,23729,Rashid Shaheed,NO,WR,15,0,0,0,37,0,46,719,5,0,0,0,0,10.0,149.6
140,22865,Ernest Jones IV,LAR,LB,15,0,0,0,0,0,0,0,0,5,0,1,0,10.0,149.4
141,19827,Roquan Smith,BAL,ILB,16,0,0,0,0,0,0,0,0,2,1,1,0,9.3,149.2
142,19041,Jake Elliott,PHI,K,17,0,0,0,0,0,0,0,0,0,0,0,0,8.8,149.0
143,14688,Justin Tucker,BAL,K,17,0,0,0,0,0,0,0,0,0,0,0,0,8.8,149.0
144,22695,Micah Parsons,DAL,LB,17,0,0,0,0,0,0,0,0,14,0,1,1,8.7,148.5
145,19832,Bradley Chubb,MIA,LB,16,0,0,0,0,0,0,0,0,11,0,6,2,9.3,148.4
146,23257,Aidan Hutchinson,DET,DL,17,0,0,0,0,0,0,0,0,12,1,3,2,8.7,148.3
147,13810,Demario Davis,NO,LB,17,0,0,0,0,0,0,0,0,7,0,1,1,8.7,148.3
